plain_roman,count,diacritics,urdu,devanagari,meter
ta.savvurhaa-e,1,taṣavvurhā-e,تصوّرہائے,तसव्वुरहा-ए,cscsccsccv<aa+z>z
siyah-posh,1,siyah-posh,سیہ پوش,सियह-पोश,cscsc<h+wb>bcvc
beqaraarii,1,beqarārī,بیقراری,बेक़रारी,cvcscvcv
ruu;h,1,rūḥ,روح,रूह,cvc
saamaan-e,7,sāmān-e,سامانِ,सामान-ए,cvcvcz
bai;th,1,baiṭh,بیٹھ,बैठ,cvc
be-navaa))ii,1,be-navāʾī,بے نوائی,बे-नवाई,cvbcscvcv
ma;hv,1,maḥv,محو,महव,cscc
sair,2,sair,سیر,सैर,cvc
((iyaadat,1,ʿiyādat,عیادت,इयादत,cscvcsc
gauhar-farosh,1,gauhar-farosh,گوہر فروش,गौहर-फ़रोश,cvcscbcscvc
dau;rte,1,dauṛte,دوڑتے,दौड़ते,cvccv
aa))iinah-e,7,āʾīnah-e,آئینۂ,आईना-ए,vcvcscz
khi;nch,1,khiñch,کھنچ,खिंच,csnc
ravaaniihaa-e,1,ravānīhā-e,روانیہائے,रवानीहा-ए,cscvcvcv<aa+z>z
giraa;n-jaanii,2,girāñ-jānī,گراں جانی,गिराँ-जानी,cscvnbcvcv
mahiine,1,mahīne,مہینے,महीने,cscvcv
sirishk-e,3,sirishk-e,سرشکِ,सिरिश्क-ए,cscsccz
zanjiir-e,3,zanjīr-e,زنجیرِ,ज़ंजीर-ए,csccvcz
lakad-kob-e,1,lakad-kob-e,لکد کوبِ,लकद-कोब-ए,cscscbcvcz
azal,1,azal,ازل,अज़ल,scsc
kufr,1,kufr,کفر,कुफ़्र,cscc
((alaavah,1,ʿalāvah,علاوہ,अलावा,cscvcsc<h+wb>
junuun-e,8,junūn-e,جنونِ,जुनून-ए,cscvcz
laf:z-e,1,lafz̤-e,لفظِ,लफ़्ज़-ए,csccz
ulfat'haa-e,1,ulfat'hā-e,الفتہائے,उल्फ़तहा-ए,sccscbcv<aa+z>z
((ishrat-koshii-e,1,ʿishrat-koshī-e,عشرت کوشیِ,इश्रत-कोशी-ए,csccscbcvcv<ii+z>z
falak,7,falak,فلک,फ़लक,cscsc
ba;xshe,3,baḳhshe,بخشے,बख़शे,csccv
;xayaalii,1,ḳhayālī,خیالی,ख़याली,cscvcv
phirne,1,phirne,پھرنے,फिरने,csccv
mast-e,3,mast-e,مستِ,मस्त-ए,csccz
naumed,1,naumed,نومید,नौमेद,cvcvc
;guruur-e,3,ġhurūr-e,غرورِ,ग़ुरूर-ए,cscvcz
qumrii,4,qumrī,قمری,क़ुमरी,csccv
zamzam,2,zamzam,زمزم,ज़म्ज़म,csccsc
lashkar,1,lashkar,لشکر,लश्कर,csccsc
saamaa;n-:taraaz-e,1,sāmāñ-t̤arāz-e,ساماں طرازِ,सामाँ-तराज़-ए,cvcvnbcscvcz
yaas,3,yās,یاس,यास,cvc
yaar,46,yār,یار,यार,cvc
soz-e,8,soz-e,سوزِ,सोज़-ए,cvcz
shaadii,4,shādī,شادی,शादी,cvcv
((a.saa-e,1,ʿaṣā-e,عصائے,असा-ए,cscv<aa+z>z
daraaz-dastii-e,1,darāz-dastī-e,دراز دستیِ,दराज़-दस्ती-ए,cscvcbcsccv<ii+z>z
firaaq,4,firāq,فراق,फ़िराक़,cscvc
yaad,32,yād,یاد,याद,cvc
